Type,Input1,Input2,Input3,F1,F2,F3,F4,F5,F6,Target
person 1,5514,574,911,0.06,1.02,0.02,36.32,-4.82,1.65,1
person 1,5562,572,911,0.02,1.05,-0.03,42.79,-5.62,-0.18,1
person 1,5612,573,910,0.07,0.98,-0.07,45.9,5.43,-0.43,1
person 1,5661,574,910,0.01,0.99,-0.15,58.23,-4.94,1.65,1
person 1,5709,574,907,0.07,1.05,-0.1,57.37,7.32,1.83,1
person 1,5757,575,882,0.14,1.09,-0.19,64.64,19.96,0.37,1
person 1,5807,576,849,0.19,1.43,-0.01,92.29,20.94,0.06,1
person 1,5856,592,353,0.31,1.74,0.24,131.23,6.84,5.68,1
person 1,5903,615,506,-0.32,0.84,-0.88,122.5,60.36,10.01,1
person 1,5955,588,880,0.06,0.68,0.1,34.3,-36.62,12.33,1
person 1,6005,582,862,-0.05,0.76,-0.03,-5.13,-4.58,11.11,1
person 1,6056,586,852,-0.03,0.79,-0.18,-69.03,-14.89,2.99,1
person 1,6108,591,762,0.06,0.87,-0.05,-109.56,10.86,-6.29,1
person 1,6160,596,411,0.08,0.97,-0.29,-133.24,37.41,-8.06,1
person 1,6212,597,310,0.1,1.07,-0.23,-164.67,6.41,-8.48,1
person 1,6263,598,372,0.14,1.15,-0.2,-157.71,24.54,-3.48,1
person 1,6316,600,260,0.08,1.11,-0.16,-152.47,25.82,-2.99,1
person 1,6367,600,312,0.17,1.09,-0.22,-129.21,54.5,1.53,1
person 1,6418,600,388,0.11,0.99,-0.24,-106.69,8.3,-1.83,1
person 1,6469,600,403,0.19,0.93,-0.15,-70.74,-3.3,1.1,1
person 1,6519,601,189,0.11,0.96,-0.38,-31.74,-29.48,3.05,1
person 1,6569,592,868,0.02,1.12,-0.05,24.72,-65.25,-4.82,1
person 1,6621,540,902,0.81,1.68,0.53,110.78,106.38,-1.4,1
person 1,6672,594,906,-0.07,1.15,-0.22,76.11,-22.52,-25.57,1
person 1,6725,568,907,0.08,0.95,0.17,57.07,-41.81,-19.71,1
person 1,6775,560,909,0.06,1.14,-0.16,65.12,8.73,-7.81,1
person 1,6824,561,910,0.14,0.95,0.44,36.62,-10.68,-10.01,1
person 1,6876,561,909,0.12,1.01,0.07,24.78,9.03,-10.38,1
person 1,6925,561,910,0.06,1.03,0.01,27.47,25.7,-5.31,1
person 1,6973,562,910,-0.13,1,0.07,23.38,20.94,-2.14,1
person 1,7023,564,910,-0.07,1,0.01,20.51,15.38,-0.06,1
person 1,7073,565,910,-0.03,1.01,0.04,26.55,-0.49,1.22,1
person 1,7122,566,910,0.01,1.02,0.01,23.93,-7.14,0.92,1
person 1,7170,566,911,-0.01,0.99,-0.01,28.5,-7.81,-1.53,1
person 1,7221,566,911,-0.02,1.07,-0.07,28.81,-12.02,0.55,1
person 1,7272,567,913,0.04,1.03,-0.07,25.27,7.39,-1.28,1
person 1,7321,567,912,-0.07,0.99,-0.13,32.59,6.47,2.56,1
person 1,7369,568,912,0.03,1.02,-0.12,32.9,-6.84,3.11,1
person 1,7418,567,911,0.01,1.03,-0.1,48.83,-6.96,2.5,1
person 1,7468,567,908,0,0.87,-0.26,43.88,1.77,4.58,1
person 1,7517,567,899,0.05,1.07,-0.19,44.86,4.58,1.04,1
person 1,7564,567,874,0.03,1.01,-0.3,37.78,13.06,6.35,1
person 1,7613,568,858,0.09,1.14,-0.05,54.87,20.69,8.24,1
person 1,7662,572,521,0.14,1.39,-0.07,88.99,18.86,2.93,1
person 1,7710,603,187,0.06,1.23,-0.19,94.48,12.15,5.86,1
person 1,7759,614,292,-0.1,0.76,-0.49,71.23,16.72,9.95,1
person 1,7810,609,101,-0.11,0.72,-0.84,61.77,39.73,13.31,1
person 1,7861,593,836,0.05,0.6,-0.34,35.03,-3.66,14.34,1
person 1,7910,596,741,0.11,0.64,-0.42,6.53,-2.56,5.19,1
person 1,7958,597,544,0.1,0.68,-0.53,-5.49,36.44,4.7,1
person 1,8007,597,425,0.13,0.7,-0.57,-23.99,24.9,2.26,1
person 1,8057,597,430,0.2,0.76,-0.52,-35.64,23.99,2.01,1
person 1,8107,597,453,0.21,0.8,-0.58,-43.27,15.56,-0.49,1
person 1,8158,596,426,0.21,0.86,-0.62,-38.94,18.49,-2.56,1
person 1,8209,597,412,0.25,0.86,-0.59,-34.42,5.43,-1.95,1
person 1,8259,596,414,0.23,0.88,-0.55,-23.86,8.24,1.04,1
person 1,8307,597,415,0.18,0.89,-0.57,-15.01,-1.89,2.81,1
person 1,8357,597,421,0.16,0.87,-0.5,-7.08,-2.69,3.85,1
person 1,8407,597,421,0.11,0.88,-0.43,-3.91,-5.25,3.17,1
person 1,8456,598,446,0.12,0.87,-0.32,-9.03,2.62,3.54,1
person 1,8503,598,472,0.1,0.93,-0.28,-19.59,3.54,5.25,1
person 1,8552,597,478,0.12,1.02,-0.4,-26.61,-13.31,0.55,1
person 1,8603,597,471,0.14,1.01,-0.28,-28.81,-24.48,-3.36,1
person 1,8655,598,450,0.13,0.97,-0.18,-30.03,-6.1,-9.09,1
person 1,8706,596,452,0.13,1,-0.4,-29.72,6.29,-10.8,1
person 1,8757,594,466,0.18,0.93,-0.29,-31.86,4.03,-10.44,1
person 1,8808,596,484,0.18,0.93,-0.19,-32.53,7.63,-7.26,1
person 1,8858,595,490,0.15,0.94,-0.23,-32.78,15.38,-5.07,1
person 1,8908,596,468,0.16,1,-0.18,-36.13,-2.81,-5.43,1
person 1,8960,596,403,0.14,0.99,-0.15,-33.57,-4.58,-5.31,1
person 1,9011,596,367,0.13,1,-0.09,-33.75,0.18,-6.71,1
person 1,9061,596,351,0.16,1.02,0.04,-36.13,6.65,-8.36,1
person 1,9109,596,100,0.18,1,0.05,-43.15,16.3,-8.48,1
