Type,Input1,Input2,Input3,F1,F2,F3,F4,F5,F6,Target
person 2,7357,593,720,0.1,0.87,-0.06,-171.45,-49.26,-4.58,1
person 2,7410,599,280,0.16,1.06,-0.32,-174.19,60.85,3.36,1
person 2,7461,603,298,0.11,1.09,-0.4,-204.22,-16.11,-4.15,1
person 2,7515,605,343,0.21,1.1,-0.08,-182.56,6.59,8.24,1
person 2,7564,607,321,0.17,1.15,-0.34,-155.21,34.36,11.11,1
person 2,7616,606,275,0.21,1,-0.24,-121.7,22.83,6.84,1
person 2,7667,606,214,0.14,0.94,-0.33,-75.44,-11.66,15.2,1
person 2,7719,599,305,0.1,1.06,-0.56,3.42,-25.51,6.1,1
person 2,7768,530,881,0.21,1.16,0.3,61.1,-31.31,-3.36,1
person 2,7818,549,905,-0.28,0.96,-1.38,146.85,219.67,0.98,1
person 2,7870,575,909,-0.02,1.14,0.1,51.39,-23.44,-24.96,1
person 2,7922,594,907,-0.03,1.04,0.16,63.17,-10.07,-16.97,1
person 2,7973,593,907,0.02,1.06,-0.1,62.19,17.33,-3.85,1
person 2,8024,590,909,0.1,0.96,0.1,39.31,-15.93,-8.36,1
person 2,8074,583,908,0.02,1.02,0.03,38.27,-6.04,-5.13,1
person 2,8123,581,908,0,1.01,-0.02,38.27,-8.18,-1.95,1
person 2,8172,580,910,0.05,1.01,-0.01,40.71,-8.79,-0.31,1
person 2,8222,577,909,0.04,0.86,-0.22,30.7,-15.75,-4.94,1
person 2,8273,574,909,0.1,0.92,0.06,32.59,2.14,-0.61,1
person 2,8322,574,908,0.03,0.99,-0.15,67.5,-21.12,4.94,1
person 2,8371,575,905,0.1,1.03,-0.23,68.79,-12.02,1.83,1
person 2,8421,575,892,0.1,0.96,-0.33,83.01,-5.13,4.21,1
person 2,8470,578,869,0.15,0.95,-0.24,55.85,0.49,5.07,1
person 2,8518,585,826,0.11,1.05,-0.34,62.81,17.76,12.7,1
person 2,8567,596,411,0.04,1.72,-0.28,71.66,11.17,28.75,1
person 2,8617,629,500,0.04,1.31,0.16,80.2,-15.44,29.17,1
person 2,8668,642,0,-0.12,0.81,-0.88,74.58,39.06,26.06,1
person 2,8717,612,844,-0.02,0.76,-0.72,61.34,20.87,24.72,1
person 2,8767,597,742,0.01,0.74,-0.52,43.7,-15.87,14.95,1
person 2,8818,600,732,0.25,0.62,-0.31,18.37,41.14,-1.46,1
person 2,8868,602,668,0.16,0.64,-0.61,-5.55,55.73,-11.05,1
person 2,8920,603,659,0.2,0.64,-0.66,-28.56,12.76,-19.65,1
person 2,8971,602,648,0.24,0.63,-0.46,-46.2,10.31,-18.01,1
person 2,9023,601,477,0.28,0.71,-0.58,-56.52,11.96,-13.31,1
person 2,9075,602,566,0.27,0.79,-0.56,-62.26,1.1,-12.51,1
person 2,9126,602,508,0.24,0.84,-0.59,-57.13,13.67,-9.34,1
person 2,9178,602,502,0.27,0.88,-0.62,-48.28,3.48,-5.43,1
person 2,9227,601,472,0.22,0.9,-0.58,-32.71,1.71,-2.01,1
person 2,9277,601,469,0.2,0.84,-0.51,-22.83,-2.62,-0.06,1
person 2,9328,601,488,0.12,0.84,-0.54,-16.72,-1.46,1.34,1
person 2,9378,602,496,0.12,0.83,-0.45,-16.05,-12.82,5.19,1
person 2,9428,601,514,0.1,0.85,-0.45,-14.16,-12.94,8.36,1
person 2,9480,600,500,0.13,0.94,-0.49,-13.92,-17.94,8.61,1
person 2,9531,600,522,0.13,0.97,-0.46,-3.66,-29.79,6.96,1
person 2,9581,600,496,0.16,0.94,-0.33,0.55,-22.4,3.97,1
person 2,9629,599,489,0.2,0.96,-0.37,1.71,-6.35,0,1
person 2,9677,599,499,0.18,0.94,-0.43,4.64,-5.07,-3.54,1
person 2,9726,599,516,0.22,0.91,-0.37,6.23,-9.77,-3.42,1
person 2,9775,599,506,0.19,0.89,-0.36,8.06,-2.2,0.31,1
