Type,Input1,Input2,Input3,F1,F2,F3,F4,F5,F6,Target
patient 1,1769,583,905,-0.15,1.15,-0.06,48.28,-24.23,-27.04,0
patient 1,1822,584,906,0.08,1.05,0.02,58.04,25.45,-7.81,0
patient 1,1871,582,908,0.02,0.99,0.08,44.92,-28.2,-9.7,0
patient 1,1921,576,909,-0.04,1.03,-0.04,46.88,3.54,-3.36,0
patient 1,1971,574,909,-0.02,0.98,-0.04,33.94,-18.86,-0.43,0
patient 1,2023,574,908,0.01,1.03,-0.08,34.12,-6.04,-1.04,0
patient 1,2073,574,909,0.01,1.05,-0.05,34,-8.61,0.12,0
patient 1,2122,574,907,-0.01,1.02,-0.07,34.3,-2.75,-0.49,0
patient 1,2172,574,908,-0.01,0.94,-0.11,40.16,14.34,0.67,0
patient 1,2223,574,908,0.04,0.83,-0.1,32.53,18.68,-1.71,0
patient 1,2273,575,905,0.17,1.03,-0.06,64.39,19.71,-4.09,0
patient 1,2323,574,885,-0.15,0.95,-0.4,66.16,15.5,1.71,0
patient 1,2372,575,862,0.12,1.26,-0.17,57.07,19.65,0.67,0
patient 1,2421,573,705,0.25,1.27,-0.26,78.43,17.09,10.93,0
patient 1,2471,572,0,0.03,1.62,0.07,97.6,-22.46,30.7,0
patient 1,2519,608,270,-0.2,1.25,0.03,112.79,-22.89,20.2,0
patient 1,2571,599,367,-0.11,0.92,-0.63,108.64,22.09,32.17,0
patient 1,2623,515,878,0.13,0.87,0.18,38.88,-23.32,22.64,0
patient 1,2673,532,858,-0.12,0.7,-0.08,-32.84,-15.69,8.91,0
patient 1,2725,550,847,0.14,0.75,-0.14,-108.03,-29.17,-10.01,0
patient 1,2779,578,210,0,0.74,-0.23,-170.29,-27.4,-1.34,0
patient 1,2832,588,0,0.2,0.94,-0.14,-211.67,-2.81,11.72,0
patient 1,2882,584,0,0.05,1.25,-0.47,-218.75,2.62,18.8,0
patient 1,2931,581,0,0.04,1.2,-0.38,-200.56,-9.52,12.94,0
patient 1,2980,576,0,0.12,1.15,-0.17,-173.4,27.95,8.06,0
patient 1,3030,560,0,0.15,1.08,-0.16,-127.5,77.09,11.47,0
patient 1,3080,509,0,0.09,1.01,-0.51,-65.73,78.98,-1.04,0
patient 1,3129,468,0,0.17,0.99,-0.33,0.43,31.19,-8.67,0
patient 1,3175,276,871,0.04,1.15,-0.37,52.37,-72.63,-3.91,0
patient 1,3226,318,890,0.5,1.18,1.41,34.61,-91.13,-4.03,0
patient 1,3276,309,901,0.17,0.96,0.04,84.84,12.88,-11.54,0
patient 1,3326,539,906,0.01,1.03,0.06,57.43,-40.22,-19.35,0
patient 1,3377,585,907,0.18,1.07,0.06,68.54,25.94,-7.2,0
patient 1,3426,573,908,0.06,1.04,0.13,57.74,-16.66,-2.44,0
patient 1,3476,569,907,-0.04,1,-0.04,53.22,1.59,-2.69,0
patient 1,3526,568,907,0.07,1.1,0.14,42.42,-8.36,-3.72,0
patient 1,3574,569,907,0.02,1,0,48.89,5.55,-4.21,0
patient 1,3622,569,907,-0.02,0.98,-0.11,51.45,6.16,-0.92,0
patient 1,3673,570,907,0,1,-0.08,51.15,-11.05,3.6,0
patient 1,3724,571,905,0.07,0.95,-0.05,44.98,5.86,3.17,0
patient 1,3771,573,899,0.08,1.01,-0.15,50.9,10.31,2.38,0
patient 1,3820,574,869,0.09,1.08,-0.26,72.2,-3.91,1.59,0
patient 1,3869,571,825,0.12,1.04,-0.25,72.39,2.56,0.85,0
patient 1,3916,569,0,0.08,1.1,-0.36,57.92,-1.46,9.28,0
patient 1,3963,575,0,0.08,1.69,-0.01,73,-2.32,18.31,0
patient 1,4012,607,187,0.08,1.49,0.44,120.54,-9.46,16.72,0
patient 1,4062,619,0,-0.34,1.34,-0.9,140.32,-4.52,24.84,0
patient 1,4111,578,865,0.03,0.9,0.15,66.28,-41.99,9.52,0
patient 1,4160,572,841,-0.15,0.8,0.19,-3.42,-23.68,13.61,0
patient 1,4211,578,843,0.04,0.72,-0.12,-93.38,26.49,2.26,0
patient 1,4261,584,690,-0.05,0.84,-0.15,-174.5,-11.35,-4.27,0
patient 1,4315,593,127,0.33,0.98,0.07,-221.01,48.77,12.7,0
patient 1,4366,597,152,0.06,1.2,-0.63,-233.15,57.01,-4.03,0
patient 1,4418,604,0,0.24,1.11,-0.29,-260.44,-39.55,-5.62,0
patient 1,4469,606,0,0.18,1.3,-0.42,-229,13.37,15.2,0
patient 1,4519,602,0,0.16,1.25,-0.43,-179.02,3.3,20.57,0
patient 1,4568,584,0,0.07,0.89,-0.72,-37.54,51.57,-3.78,0
patient 1,4617,434,872,0.06,1.12,-0.31,89.23,-6.35,-6.65,0
patient 1,4667,308,896,-0.41,1.93,0.31,91.98,90.45,-9.89,0
patient 1,4716,396,905,0.05,1.27,-0.2,118.04,-27.77,-14.04,0
patient 1,4769,577,906,0.05,1.12,0,73.36,-24.72,-22.03,0
patient 1,4820,588,907,0.05,1,0.08,68.36,16.05,-1.83,0
patient 1,4870,588,907,0.05,1.02,0.11,42.3,-5.31,0.06,0
patient 1,4917,590,907,-0.01,1.04,0.07,39,8.12,-1.22,0
patient 1,4966,589,907,0.01,1,0.08,35.64,-3.11,-2.62,0
patient 1,5015,581,907,-0.01,0.99,-0.03,40.22,-4.21,-2.75,0
patient 1,5066,577,906,0.06,1.03,0.06,41.87,-5.62,-0.61,0
patient 1,5114,575,906,0.03,1.02,0.08,33.2,-0.37,-0.37,0
patient 1,5164,574,906,0.04,0.93,-0.09,34.61,5.19,6.1,0
patient 1,5212,573,904,0.02,0.98,-0.13,60.06,-18.13,7.2,0
patient 1,5262,573,907,0.1,1.02,-0.09,69.89,-12.63,3.3,0
patient 1,5311,574,900,0.06,1.04,-0.25,74.16,1.46,3.97,0
patient 1,5359,573,862,0.22,1.08,-0.12,63.42,5.37,0.98,0
patient 1,5407,574,544,0.26,1.61,0.05,105.59,21.42,5.49,0
patient 1,5456,595,301,0.21,1.91,0.73,152.47,-28.75,6.47,0
patient 1,5506,616,280,-0.55,1.12,-1.12,149.17,16.66,22.58,0
patient 1,5558,550,870,0,0.43,-0.01,40.1,8.48,14.34,0
patient 1,5608,587,851,0.08,0.54,0.1,-68.42,-27.47,1.04,0
patient 1,5658,591,822,-0.02,0.69,-0.26,-127.62,-18.19,5.49,0
patient 1,5710,598,76,0.11,0.83,-0.23,-170.17,9.09,-3.48,0
patient 1,5761,605,0,0.12,0.93,-0.4,-180.73,29.05,-1.1,0
patient 1,5811,608,0,0.14,1.04,-0.42,-192.32,13.37,-1.04,0
patient 1,5861,611,0,0.13,1.07,-0.49,-173.58,9.03,4.58,0
patient 1,5908,610,0,0.14,1.06,-0.38,-148.56,14.95,12.02,0
patient 1,5958,605,0,0.17,1.05,-0.5,-101.38,29.17,10.56,0
patient 1,6008,572,813,0.01,0.98,-0.41,-35.34,6.96,5.19,0
patient 1,6057,440,867,-0.13,1.3,0.13,31.13,6.23,-1.83,0
patient 1,6106,571,900,-0.37,0.99,-1.29,104.98,129.52,-11.47,0
patient 1,6160,587,904,0,1.16,-0.14,30.94,-21.42,-22.34,0
patient 1,6212,582,905,0.05,1.02,0.2,23.19,14.28,-3.23,0
patient 1,6261,580,907,0.01,1.04,0.08,17.46,-12.88,-0.18,0
patient 1,6310,580,907,0.07,1.03,0.2,15.63,4.52,1.95,0
patient 1,6358,582,907,-0.03,0.99,0.12,13,-9.64,-0.18,0
patient 1,6408,580,907,0,1.01,0.15,19.96,-7.75,-1.1,0
patient 1,6458,579,907,0.09,1.03,0.12,19.53,-5.86,-3.85,0
patient 1,6506,578,907,0.05,1.02,0.15,17.52,-5.74,-2.5,0
patient 1,6555,577,908,0.06,1.02,0.06,11.54,-5.13,0.37,0
patient 1,6603,577,907,0.06,1.05,0.08,4.82,-5.62,0.61,0
patient 1,6650,577,908,0.03,1.03,0.07,-1.1,-0.06,2.69,0
patient 1,6697,576,908,0.03,1.02,0.07,-6.41,-1.34,4.15,0
patient 1,6746,578,908,0.05,1.03,0.05,-10.5,-2.87,2.87,0
patient 1,6795,578,908,0.03,1.01,0.12,-12.02,-1.71,4.09,0
patient 1,6843,579,909,0.04,1,0.12,-11.78,-0.79,4.39,0
patient 1,6892,579,909,0.06,1.01,0.14,-7.93,0.55,3.23,0
patient 1,6939,579,910,0.03,1,0.14,-0.31,0.43,4.09,0
patient 1,6986,578,909,0.06,1.01,0.11,2.69,3.3,5.25,0
patient 1,7031,580,909,0.06,1.02,0.1,0.73,0.43,3.78,0
patient 1,7077,580,910,0.07,1.02,0.1,-0.92,-0.55,2.62,0
patient 1,7126,580,909,0.07,1.01,0.12,-0.24,-0.24,1.95,0
patient 1,7173,580,911,0.06,1.01,0.11,0.18,-0.37,1.22,0
patient 1,7220,580,910,0.07,1.02,0.1,-0.12,-0.37,1.65,0
patient 1,7268,580,910,0.07,1.02,0.1,-0.85,-0.37,1.65,0
patient 1,7316,580,911,0.07,1.01,0.11,-0.31,0.37,1.4,0
patient 1,7362,581,910,0.06,1.01,0.1,0.85,-0.31,0.73,0
patient 1,7409,580,911,0.07,1.01,0.11,0.61,-2.01,0.43,0
patient 1,7456,580,911,0.06,1.01,0.11,0.67,-3.72,0.37,0
patient 1,7502,580,911,0.06,1.01,0.1,1.16,-0.92,0.92,0
patient 1,7549,580,910,0.07,1.01,0.1,0.06,-2.69,0.18,0
patient 1,7597,580,911,0.07,1.01,0.11,0.06,-2.69,-0.43,0
patient 1,7644,580,911,0.06,1.01,0.11,1.59,-0.55,-0.49,0
patient 1,7692,580,911,0.07,1.02,0.1,1.59,-0.18,-0.67,0
patient 1,7740,580,911,0.06,1.02,0.09,0.24,-0.06,-1.1,0
patient 1,7788,580,911,0.05,1.01,0.11,0.18,-1.28,-0.79,0
patient 1,7835,580,911,0.06,1.01,0.1,0.61,0.49,-0.43,0
patient 1,7882,580,911,0.05,1.01,0.1,0,-1.34,-0.61,0
patient 1,7930,581,911,0.06,1.01,0.09,0.37,-1.77,-0.43,0
patient 1,7977,580,911,0.05,1.01,0.1,0.06,-2.2,-0.24,0
patient 1,8026,580,911,0.06,1.02,0.09,0.31,-1.95,-0.06,0
patient 1,8074,580,911,0.05,1.02,0.1,0.18,-1.4,0.49,0
patient 1,8121,581,912,0.06,1.02,0.08,-0.55,-0.43,0.37,0
patient 1,8168,581,911,0.05,1.01,0.09,-0.67,-0.79,-0.18,0
patient 1,8217,581,910,0.05,1.02,0.1,-0.12,-0.92,0.24,0
patient 1,8265,580,911,0.05,1.02,0.09,-0.18,-0.73,0.31,0
patient 1,8313,581,911,0.05,1.01,0.09,-0.49,-0.55,0.55,0
patient 1,8360,580,911,0.05,1.02,0.08,-0.98,-0.06,0.31,0
patient 1,8409,581,911,0.05,1.01,0.1,-0.92,-0.37,0.37,0
patient 1,8457,581,911,0.05,1.01,0.09,0,0.49,0.49,0
patient 1,8502,581,911,0.05,1.01,0.09,-0.43,-0.31,0.24,0
patient 1,8550,581,911,0.04,1.01,0.09,-0.61,-1.22,-0.18,0
patient 1,8599,580,911,0.05,1.02,0.09,-0.24,-1.22,-0.12,0
patient 1,8648,581,912,0.04,1.01,0.09,0,-1.4,0.31,0
patient 1,8694,581,911,0.05,1.02,0.09,0.49,-1.22,0.55,0
patient 1,8741,582,911,0.05,1.02,0.1,0.12,-1.04,0.24,0
patient 1,8788,582,911,0.05,1.02,0.09,-0.37,-0.49,0,0
patient 1,8836,582,912,0.04,1.01,0.1,-0.73,-0.92,0.37,0
patient 1,8884,582,911,0.05,1.01,0.1,0.18,-0.12,0.55,0
patient 1,8931,582,912,0.04,1.01,0.09,-0.06,-0.55,0.67,0
patient 1,8979,580,911,0.05,1.02,0.09,0.06,-0.18,0.43,0
patient 1,9025,581,911,0.04,1.02,0.09,-0.24,0.06,0.55,0
patient 1,9072,581,911,0.05,1.01,0.09,-0.18,0.18,0.55,0
patient 1,9119,581,912,0.05,1.02,0.09,-0.18,-0.37,0.61,0
patient 1,9166,582,917,0.02,0.98,0.07,-0.06,1.46,-0.12,0
patient 1,9214,580,911,0.24,1.67,0.39,0.49,0.55,4.76,0
patient 1,9261,579,907,0.31,1.63,0.4,-0.12,1.1,1.4,0
patient 1,9307,580,909,0.33,1.66,0.4,-0.24,0.55,1.53,0
patient 1,9354,580,907,0.1,0.9,0.07,0,2.93,-2.99,0
patient 1,9401,580,912,0.1,0.9,0.08,-0.06,3.05,-2.81,0
patient 1,9449,580,908,-0.23,0.31,-0.25,0,0.37,-1.34,0
patient 1,9497,579,904,-0.24,0.32,-0.24,0,0.24,-1.04,0
patient 1,9546,579,906,-0.02,1.1,0.08,-0.55,-2.99,4.64,0
patient 1,9595,579,907,0.33,1.71,0.41,-0.61,-0.18,2.44,0
patient 1,9644,579,911,0.11,0.92,0.08,-0.55,3.11,-3.42,0
patient 1,9691,579,910,0.05,0.78,0.01,-0.79,3.42,-3.72,0
patient 1,9739,580,905,-0.25,0.37,-0.25,-0.37,-0.55,-0.49,0
patient 1,9790,579,909,0.09,1.34,0.19,-0.18,-3.17,4.82,0
patient 1,9837,580,905,0.32,1.6,0.39,-0.12,0.37,0.73,0
patient 1,9884,579,911,0.29,1.49,0.34,-0.73,0,-0.43,0
patient 1,9932,580,911,-0.08,0.47,-0.15,-0.37,1.16,-3.54,0
patient 1,9982,579,911,-0.18,0.69,-0.1,-0.55,-3.36,2.32,0
patient 1,10032,579,915,0.27,1.66,0.38,-0.12,-2.01,4.46,0
patient 1,10081,579,911,0.19,1.14,0.2,-0.79,2.93,-1.71,0
patient 1,10130,579,911,0.12,0.92,0.09,-1.1,2.87,-2.75,0
patient 1,10179,579,911,-0.25,0.36,-0.23,-0.06,-0.98,-0.37,0
patient 1,10230,579,911,0.32,1.63,0.39,-0.55,0.92,1.16,0
patient 1,10278,579,911,0.29,1.46,0.3,-0.43,2.81,-0.55,0
patient 1,10328,580,912,-0.15,0.41,-0.18,-0.55,3.23,-3.54,0
patient 1,10379,579,913,-0.1,0.92,0,-0.85,-1.83,3.54,0
patient 1,10428,579,911,0.33,1.7,0.4,-0.98,-0.24,2.14,0
patient 1,10477,579,915,0.02,0.72,-0.01,-0.79,1.83,-3.97,0
patient 1,10527,579,911,-0.23,0.53,-0.17,-0.06,-1.89,1.22,0
patient 1,10578,579,909,0.27,1.65,0.36,-0.79,-2.32,3.91,0
patient 1,10627,578,909,0.15,1.05,0.15,-0.67,2.56,-2.87,0
patient 1,10676,579,911,-0.26,0.35,-0.21,0.61,-0.61,-0.67,0
patient 1,10727,580,908,0.16,1.46,0.25,0.49,-3.54,4.64,0
patient 1,10775,580,911,0.26,1.34,0.26,0.24,1.83,-1.71,0
patient 1,10822,580,911,0.15,1,0.13,-0.24,2.08,-3.6,0
patient 1,10871,580,909,-0.26,0.38,-0.22,-0.31,-1.95,-0.67,0
patient 1,10924,579,910,0.21,1.56,0.32,-0.12,-2.26,5,0
patient 1,10972,580,911,0.19,1.15,0.17,0.92,3.97,-2.26,0
patient 1,11020,580,911,-0.26,0.35,-0.24,0.24,-0.79,-0.79,0
patient 1,11071,579,913,0.19,1.54,0.3,-0.67,-3.17,4.76,0
patient 1,11120,579,911,0.18,1.16,0.18,-0.61,1.53,-3.23,0
patient 1,11168,580,911,-0.25,0.34,-0.23,0.12,-1.34,-1.16,0
patient 1,11219,580,914,0.19,1.56,0.29,-0.06,-3.11,4.76,0
patient 1,11269,579,915,0.16,1.06,0.15,-0.43,3.3,-2.75,0
patient 1,11318,578,911,-0.03,0.61,-0.07,-0.55,2.69,-3.91,0
patient 1,11368,578,911,0.24,1.65,0.35,-0.85,-1.71,4.64,0
patient 1,11417,579,914,0.09,0.87,0.06,-0.43,3.36,-3.17,0
patient 1,11466,578,913,-0.11,0.47,-0.14,-0.18,2.26,-3.66,0
patient 1,11517,578,909,0.3,1.7,0.37,-0.12,-0.12,4.15,0
patient 1,11566,578,911,0.29,1.54,0.32,-0.79,2.2,0.92,0
patient 1,11614,579,910,-0.21,0.33,-0.25,-0.18,1.34,-2.08,0
patient 1,11665,579,915,0.13,1.38,0.22,-0.49,-2.87,5.49,0
patient 1,11714,578,917,0.19,1.21,0.2,-0.49,2.62,-1.65,0
patient 1,11762,579,913,-0.25,0.4,-0.22,-0.24,-1.16,0.18,0
patient 1,11813,578,911,0.27,1.66,0.38,-0.73,-1.71,4.64,0
patient 1,11863,579,914,0.03,0.75,-0.02,-0.24,3.3,-3.36,0
patient 1,11913,579,911,-0.14,0.75,-0.06,0.06,-2.32,3.17,0
patient 1,11962,579,911,0.31,1.67,0.39,-0.43,0.98,2.2,0
patient 1,12010,579,912,0.23,1.33,0.25,-0.67,2.14,-1.16,0
patient 1,12059,580,909,-0.24,0.33,-0.25,-0.06,0.06,-0.98,0
patient 1,12110,580,915,0.22,1.6,0.34,-0.73,-2.5,4.94,0
patient 1,12158,580,913,0.09,0.89,0.06,-0.55,3.11,-3.17,0
patient 1,12208,580,911,-0.19,0.61,-0.12,-0.31,-2.14,2.01,0
patient 1,12259,579,913,0.31,1.69,0.39,-0.98,-0.31,2.56,0
patient 1,12308,581,911,-0.12,0.45,-0.17,-0.61,2.56,-3.72,0
patient 1,12358,580,909,0.02,1.17,0.13,-0.85,-3.3,4.76,0
patient 1,12407,580,911,0.24,1.35,0.26,-0.92,2.14,-1.28,0
patient 1,12456,581,915,-0.25,0.36,-0.23,-0.37,-0.61,-0.79,0
patient 1,12509,581,909,0.26,1.65,0.37,-1.04,-1.22,4.33,0
patient 1,12557,581,909,0,0.68,-0.04,-0.73,2.87,-4.09,0
patient 1,12607,580,908,-0.1,0.91,0,-0.73,-2.69,3.36,0
patient 1,12657,581,905,0.28,1.53,0.32,-1.4,2.38,0.31,0
patient 1,12705,581,911,-0.23,0.33,-0.25,-0.67,0.37,-1.89,0
patient 1,12755,581,907,0.2,1.58,0.33,-0.49,-2.01,5.19,0
patient 1,12805,581,910,0.07,0.82,0.04,-0.79,3.11,-3.6,0
patient 1,12854,581,911,-0.16,0.39,-0.2,-0.49,2.01,-3.48,0
patient 1,12905,581,908,0.32,1.67,0.38,-1.04,0.49,1.71,0
patient 1,12952,580,909,0.23,1.29,0.25,-0.92,2.44,-1.83,0
patient 1,13001,581,911,-0.25,0.38,-0.24,-0.55,-0.73,-0.73,0
patient 1,13053,581,902,0.25,1.65,0.34,-0.92,-1.46,4.15,0
patient 1,13102,581,909,0.02,0.69,-0.01,-0.67,2.5,-4.27,0
patient 1,13152,581,906,-0.13,0.88,-0.01,0.06,-2.56,3.36,0
patient 1,13202,581,906,0.29,1.56,0.35,-0.49,0.73,0.24,0
patient 1,13250,581,907,-0.22,0.33,-0.25,0.31,0.92,-2.44,0
patient 1,13299,581,909,0.17,1.55,0.29,0.12,-2.56,4.76,0
patient 1,13347,581,911,0.3,1.67,0.39,-0.18,0,1.83,0
patient 1,13395,580,913,-0.17,0.36,-0.22,0,0.98,-3.3,0
patient 1,13446,581,914,0.14,1.44,0.24,0.12,-3.05,4.94,0
patient 1,13493,581,908,0.13,0.98,0.12,-0.18,2.38,-3.3,0
patient 1,13542,580,906,-0.14,0.42,-0.19,0.61,1.83,-3.6,0
patient 1,13592,581,908,0.09,1.32,0.19,0.43,-3.36,4.94,0
patient 1,13640,581,908,0.16,1.1,0.17,0.37,3.11,-2.93,0
patient 1,13687,582,911,-0.22,0.56,-0.16,0.49,-2.08,1.28,0
