Type,Input1,Input2,Input3,F1,F2,F3,F4,F5,F6,Target
person 3,2952,505,907,0.08,1.08,0.06,53.59,-24.29,-16.91,1
person 3,3003,582,910,0.13,1.03,0.18,64.39,-19.53,-21.61,1
person 3,3053,570,911,0.02,1.04,-0.01,64.15,8.79,-8.06,1
person 3,3102,570,910,0.1,1.03,0.04,48.22,-9.22,-3.54,1
person 3,3151,571,911,0.04,1.01,0.05,32.23,-3.11,-3.6,1
person 3,3201,571,911,0.03,0.99,0.03,29.42,5.31,-3.23,1
person 3,3248,572,910,0.02,1.01,0,29.6,2.08,-0.06,1
person 3,3296,571,910,0.01,1.01,0.02,33.45,0.43,2.99,1
person 3,3343,568,909,0,1.07,0.02,43.82,-4.15,2.75,1
person 3,3391,565,908,0.05,1,0.02,50.66,-1.16,1.04,1
person 3,3438,565,907,-0.02,1.12,-0.21,73.3,-8.67,1.34,1
person 3,3488,563,901,0.09,1.03,-0.21,73,-7.14,-2.01,1
person 3,3538,565,871,0.17,1.13,-0.19,69.34,-4.21,5.37,1
person 3,3588,566,811,0.18,1.26,-0.14,86.79,-18.13,8.48,1
person 3,3637,571,0,0.17,1.75,0.04,107.18,-12.15,10.68,1
person 3,3686,610,251,-0.04,1.48,0.24,126.34,-3.54,6.29,1
person 3,3736,621,0,-0.24,0.86,-0.49,98.45,-2.08,28.75,1
person 3,3784,577,871,-0.14,0.84,-0.43,60.73,-0.12,23.32,1
person 3,3835,545,862,-0.02,0.68,0.14,-17.52,-18.68,13.06,1
person 3,3888,565,845,0.12,0.76,-0.01,-97.78,-3.11,-5.07,1
person 3,3939,570,708,0.14,0.58,-0.38,-144.65,9.22,-14.28,1
person 3,3991,573,0,0.23,0.93,-0.12,-199.52,1.46,-6.29,1
person 3,4039,579,0,0.19,1.16,-0.33,-209.47,38.82,11.11,1
person 3,4089,582,0,0.13,1.22,-0.51,-225.04,18.62,9.52,1
person 3,4139,579,0,0.19,1.23,-0.64,-201.72,1.16,9.95,1
person 3,4187,527,0,0.04,1.2,-0.74,-127.62,22.46,18.25,1
person 3,4236,348,0,0.14,1.1,-0.82,-22.4,17.52,0.73,1
person 3,4284,299,880,0.37,0.88,0.86,42.48,-25.15,-1.04,1
person 3,4334,371,906,-0.29,1.27,-0.69,109.25,173.4,-11.6,1
person 3,4388,512,909,0.06,0.96,0.16,72.02,-16.54,-15.75,1
person 3,4439,576,910,-0.02,1.05,0.05,59.88,-19.04,-14.1,1
person 3,4491,583,910,-0.04,1.03,-0.05,49.26,-11.11,-2.87,1
person 3,4543,569,910,0.1,1.05,0.05,37.23,-6.9,-4.33,1
person 3,4592,566,910,0.05,1.04,0.06,29.24,-11.35,-2.26,1
person 3,4641,563,910,0.04,1.02,0.02,31.68,-3.11,-0.85,1
person 3,4690,562,909,0.03,0.99,0,35.89,4.39,2.56,1
person 3,4738,562,909,0.01,1.06,0,42.42,-3.54,5,1
person 3,4787,563,908,0.06,1.01,-0.03,51.57,8.97,3.72,1
person 3,4834,563,905,0.05,0.97,-0.12,53.04,-0.37,2.5,1
person 3,4883,564,898,0.05,1.04,-0.23,64.51,-10.99,7.45,1
person 3,4933,564,869,0.16,1.11,-0.15,65.98,-21.18,9.46,1
person 3,4982,563,828,0.2,1.18,-0.16,65.55,0.12,6.35,1
person 3,5030,562,0,0.26,1.31,0,99.55,6.35,6.59,1
person 3,5076,576,45,0.14,2.04,0.49,143.62,-28.81,6.1,1
person 3,5126,618,0,-0.28,1.1,-0.84,165.53,45.35,18.55,1
person 3,5175,586,814,-0.17,0.78,-0.37,81.54,-36.01,20.57,1
person 3,5227,569,843,-0.25,0.51,-0.14,10.93,-6.84,16.91,1
person 3,5278,574,840,0.07,0.66,-0.18,-67.02,-28.44,16.05,1
person 3,5330,582,662,0.03,0.76,-0.16,-118.96,-4.46,12.33,1
person 3,5382,585,16,0.12,1.03,-0.14,-159.79,-2.75,5,1
person 3,5432,590,0,0.08,1.09,-0.44,-180.18,-1.46,14.22,1
person 3,5482,595,0,0.05,1.07,-0.27,-199.52,-15.75,12.15,1
person 3,5533,599,0,0.07,1.21,-0.36,-188.42,25.39,5.31,1
person 3,5581,598,0,0.19,1.09,-0.39,-170.23,15.01,-1.4,1
person 3,5632,601,0,0.15,1.08,-0.54,-114.75,49.5,-5.86,1
person 3,5682,597,0,0.09,1.06,-0.58,-50.35,39.92,1.16,1
person 3,5730,585,866,0.16,1.05,-0.44,22.46,16.36,-3.97,1
person 3,5779,456,898,0.64,1.19,1.52,-12.08,-107.73,-13.98,1
person 3,5832,582,907,0.09,0.97,-0.17,64.15,36.74,-1.34,1
person 3,5882,596,910,0,1.05,0.15,54.2,-27.89,-10.19,1
person 3,5934,599,911,0.04,0.96,0.17,54.5,-2.87,-0.49,1
person 3,5982,596,910,0.08,1.02,0.05,41.5,-15.14,0.43,1
person 3,6031,593,910,0.06,1.03,0.06,33.2,1.1,0.98,1
person 3,6078,583,911,0.06,0.99,0.05,29.11,-10.74,-0.85,1
person 3,6128,571,912,0.1,1.01,0.03,33.75,-0.31,2.87,1
person 3,6175,571,913,-0.01,0.98,0.04,41.5,-17.7,6.29,1
person 3,6225,568,913,0.09,0.98,0.09,49.62,-13.61,2.93,1
person 3,6275,568,913,0.15,0.88,0.23,93.51,-33.94,3.85,1
person 3,6324,568,911,0.07,0.98,-0.17,99.91,-24.29,0.49,1
person 3,6373,567,902,0.13,1.02,-0.27,92.77,-13.73,5.25,1
person 3,6423,567,864,0.24,1.29,-0.16,99.43,-3.11,4.94,1
person 3,6472,573,69,0.34,1.87,0.17,116.52,-6.1,22.89,1
person 3,6521,620,557,0,0.89,0.18,128.11,-6.84,17.88,1
person 3,6572,612,689,-0.36,0.97,-0.98,106.26,-12.02,24.41,1
person 3,6625,575,847,0.07,0.6,0.05,37.54,-8.73,4.03,1
person 3,6673,587,834,0.12,0.68,0.14,-42.72,-23.5,-11.41,1
person 3,6725,592,785,0.14,0.8,-0.18,-107.12,34.42,-18.74,1
person 3,6777,596,507,0.23,0.81,-0.16,-166.14,16.05,-25.33,1
person 3,6831,602,0,0.19,0.94,-0.28,-196.41,28.56,-9.46,1
person 3,6881,604,0,0.17,1.13,-0.23,-213.26,32.29,1.28,1
person 3,6930,608,0,0.13,1.26,-0.47,-211.85,49.68,-1.1,1
person 3,6979,610,0,0.22,1.2,-0.99,-148.68,59.81,-3.66,1
person 3,7029,601,824,-0.04,0.92,-1.32,-38.88,-13.06,2.99,1
person 3,7081,585,900,-0.06,2.31,0.53,49.13,-79.22,-11.78,1
person 3,7134,600,908,0.16,1.22,-0.33,80.51,42.24,-22.16,1
person 3,7185,577,909,0.03,1.15,-0.11,43.95,-13.73,-6.53,1
person 3,7235,568,910,-0.01,1.04,-0.09,39.98,-11.84,-2.38,1
person 3,7287,569,910,0.09,1.03,0.08,28.26,0.49,4.94,1
person 3,7334,570,910,0.02,1.01,0.01,20.45,-6.59,1.89,1
person 3,7383,570,911,0.01,1,0,22.09,-0.67,1.95,1
person 3,7430,571,911,0.11,1,0.04,23.8,-2.69,5.19,1
person 3,7478,571,911,0.04,1.03,0,27.71,7.02,3.72,1
person 3,7525,571,910,0,1,-0.01,35.16,19.65,11.72,1
person 3,7574,572,909,0.02,0.95,-0.06,47.79,-5.68,10.44,1
person 3,7624,571,907,0.16,1.02,-0.03,73.55,-15.69,6.1,1
person 3,7674,571,897,0.11,1.11,-0.19,88.2,-14.53,4.94,1
person 3,7725,570,859,0.21,1.21,-0.13,92.1,0.85,5.25,1
person 3,7772,573,596,0.17,2.21,0.08,126.59,-21.73,16.3,1
person 3,7823,615,606,0.02,1.47,0.56,148.32,-50.11,7.08,1
person 3,7873,620,311,-0.34,0.89,-0.98,139.83,36.93,28.56,1
person 3,7925,572,857,0.1,0.42,-0.11,40.41,-45.96,25.45,1
person 3,7975,590,836,-0.02,0.58,-0.03,-47.06,-68.48,9.77,1
person 3,8028,597,826,0.09,0.67,-0.09,-108.95,-32.17,11.66,1
person 3,8081,602,501,0.08,0.64,-0.19,-164.06,-13.31,3.97,1
person 3,8133,603,53,0.11,0.99,-0.28,-192.81,1.53,4.82,1
person 3,8182,606,100,0.12,1.07,-0.2,-210.75,24.54,7.69,1
person 3,8232,608,0,0.11,1.26,-0.36,-205.51,45.41,2.32,1
person 3,8282,610,0,0.15,1.21,-0.55,-181.76,53.34,-4.58,1
person 3,8332,610,0,0.16,1.16,-0.67,-106.81,57.74,-1.89,1
person 3,8382,604,642,0.04,0.94,-1.14,-4.76,16.78,5.13,1
person 3,8430,573,891,-0.48,2.17,1.59,11.41,-109.74,-10.25,1
person 3,8483,596,906,0.16,1,-0.19,124.94,72.27,3.78,1
person 3,8534,588,910,-0.07,0.91,-0.07,42.97,-24.41,-14.59,1
person 3,8587,577,908,0.06,0.98,0.12,47.24,-7.93,-0.98,1
person 3,8635,570,910,0.03,1.05,-0.06,38.02,-0.79,4.33,1
person 3,8684,570,909,0.05,1.02,0.05,30.21,-4.03,2.2,1
person 3,8732,572,911,0.02,1.03,-0.02,28.93,-2.62,4.09,1
person 3,8781,571,909,0.11,1.1,0.09,35.4,-18.01,4.09,1
person 3,8829,571,910,0.03,1,0.01,44.68,-12.27,8.67,1
person 3,8879,571,911,0.06,0.92,-0.01,53.96,-4.39,5.68,1
person 3,8928,572,912,0.03,0.94,-0.07,69.89,-3.23,2.56,1
person 3,8976,572,910,0.07,0.97,-0.33,96.13,-13.06,0.37,1
person 3,9026,571,899,0.16,1.19,-0.15,96.62,-7.81,-5.31,1
person 3,9076,572,866,0.22,1.3,-0.17,86.12,23.07,-3.23,1
person 3,9126,584,283,0.24,1.9,-0.02,124.57,28.02,5.68,1
person 3,9176,628,668,0.1,1.38,0.6,133.91,3.48,9.77,1
person 3,9224,636,235,-0.52,0.7,-1.78,115.42,52.67,32.1,1
person 3,9276,584,849,0.11,0.15,0.09,42.36,-38.45,26.25,1
person 3,9326,591,789,0.08,0.52,-0.2,-19.78,-24.11,16.6,1
person 3,9378,594,783,0.05,0.59,-0.34,-62.62,9.4,0.18,1
person 3,9426,596,478,0.13,0.71,-0.32,-104.68,38.27,-3.66,1
person 3,9479,598,143,0.13,0.86,-0.6,-121.46,38.88,-11.23,1
person 3,9532,597,208,0.16,0.99,-0.45,-140.69,-4.94,-14.47,1
person 3,9585,598,263,0.04,1.03,-0.56,-128.05,22.09,-11.9,1
person 3,9637,597,199,0.09,1.18,-0.41,-123.41,25.15,-12.27,1
person 3,9691,598,248,0.13,1.15,-0.29,-104.19,46.02,-19.29,1
person 3,9744,598,250,0.1,1.1,-0.4,-78.25,44.19,-25.02,1
person 3,9796,598,248,0.11,0.98,-0.18,-57.74,25.02,-27.28,1
person 3,9848,598,267,0.12,0.96,-0.12,-31.56,33.94,-22.34,1
person 3,9900,598,276,0.1,1,-0.03,-14.89,8.18,-14.77,1
person 3,9951,596,217,0.15,0.98,0.08,-6.16,-8.54,-7.63,1
person 3,10000,596,153,0.08,0.98,0.1,-6.59,-31.62,-2.08,1
person 3,10051,598,0,0.09,0.92,0.13,-8.48,-24.29,1.4,1
person 3,10098,598,0,0.07,0.9,0.06,-12.57,-21.3,3.48,1
person 3,10147,598,847,-0.03,0.94,-0.08,-3.17,-14.89,6.04,1
person 3,10200,600,899,-0.44,1.79,-0.02,39.92,-18.68,-2.56,1
person 3,10253,606,907,0.08,1.14,-0.18,75.01,3.48,-10.62,1
person 3,10303,564,908,0.06,1.02,-0.05,38.15,-45.35,-10.13,1
person 3,10356,555,910,0.07,1.09,-0.14,44.74,6.47,-3.97,1
person 3,10406,554,910,0.01,1.01,0.03,33.26,1.77,-0.73,1
person 3,10456,555,909,-0.1,0.96,-0.17,28.99,3.72,-0.85,1
person 3,10506,557,906,0.04,0.99,0,29.79,8.61,-2.69,1
person 3,10555,556,908,-0.04,1.01,-0.08,42.48,7.69,-1.65,1
person 3,10606,557,902,0,1.05,-0.1,48.22,5.43,-1.65,1
person 3,10657,559,889,-0.04,1.05,-0.2,55.05,8.48,-3.11,1
person 3,10707,559,872,0.08,1.1,-0.17,61.52,20.94,-5.74,1
person 3,10759,564,840,0,0.98,-0.33,71.53,16.36,-3.72,1
person 3,10811,578,0,-0.03,0.87,-0.43,69.03,9.7,-0.06,1
person 3,10860,593,0,-0.01,0.95,-0.4,59.02,13.06,3.17,1
person 3,10909,608,456,0.12,1.39,0.03,70.74,22.28,1.71,1
person 3,10957,636,521,0.12,1.4,0.22,105.29,7.75,5.49,1
person 3,11006,645,243,-0.23,0.97,-0.95,101.5,18.86,6.77,1
person 3,11059,636,799,-0.1,0.61,-1.23,91.49,69.7,31.68,1
person 3,11111,609,697,0.17,0.52,-0.58,60.55,-7.63,18.8,1
person 3,11161,614,697,0.12,0.56,-0.71,70.86,7.87,2.75,1
person 3,11210,614,685,0.12,0.5,-0.69,67.08,28.32,-2.99,1
person 3,11261,613,681,0.18,0.54,-0.62,47.12,30.64,-7.2,1
